,date,lhd_code,lhd_name,lga_code,lga_name,case_count,state_name,state_code
129,2020-03-16,X720,South Eastern Sydney,10500,Bayside (A),1,New South Wales,NSW
130,2020-03-16,X720,South Eastern Sydney,16550,Randwick (C),3,New South Wales,NSW
131,2020-03-16,X720,South Eastern Sydney,17150,Sutherland Shire (A),1,New South Wales,NSW
132,2020-03-16,X720,South Eastern Sydney,18050,Waverley (A),5,New South Wales,NSW
133,2020-03-16,X720,South Eastern Sydney,18500,Woollahra (A),1,New South Wales,NSW
134,2020-03-16,X730,Illawarra Shoalhaven,18450,Wollongong (C),1,New South Wales,NSW
135,2020-03-16,X740,Western Sydney,17420,The Hills Shire (A),2,New South Wales,NSW
136,2020-03-16,X760,Northern Sydney,14000,Hornsby (A),1,New South Wales,NSW
137,2020-03-16,X760,Northern Sydney,14500,Ku-ring-gai (A),2,New South Wales,NSW
138,2020-03-16,X760,Northern Sydney,15350,Mosman (A),2,New South Wales,NSW
139,2020-03-16,X760,Northern Sydney,15950,North Sydney (A),1,New South Wales,NSW
140,2020-03-16,X760,Northern Sydney,16260,Parramatta (C),1,New South Wales,NSW
141,2020-03-16,X760,Northern Sydney,16700,Ryde (C),1,New South Wales,NSW
142,2020-03-16,X800,Hunter New England,15240,Mid-Coast (A),2,New South Wales,NSW
143,2020-03-17,X700,Sydney,11300,Burwood (A),1,New South Wales,NSW
144,2020-03-17,X700,Sydney,14170,Inner West (A),1,New South Wales,NSW
145,2020-03-17,X700,Sydney,17200,Sydney (C),2,New South Wales,NSW
146,2020-03-17,X710,South Western Sydney,11450,Camden (A),3,New South Wales,NSW
147,2020-03-17,X710,South Western Sydney,18350,Wingecarribee (A),1,New South Wales,NSW
148,2020-03-17,X720,South Eastern Sydney,10500,Bayside (A),2,New South Wales,NSW
149,2020-03-17,X720,South Eastern Sydney,16550,Randwick (C),1,New South Wales,NSW
150,2020-03-17,X720,South Eastern Sydney,17150,Sutherland Shire (A),7,New South Wales,NSW
151,2020-03-17,X720,South Eastern Sydney,17200,Sydney (C),3,New South Wales,NSW
152,2020-03-17,X720,South Eastern Sydney,18050,Waverley (A),3,New South Wales,NSW
153,2020-03-17,X720,South Eastern Sydney,18500,Woollahra (A),4,New South Wales,NSW
154,2020-03-17,X730,Illawarra Shoalhaven,14400,Kiama (A),1,New South Wales,NSW
155,2020-03-17,X730,Illawarra Shoalhaven,16950,Shoalhaven (C),1,New South Wales,NSW
156,2020-03-17,X740,Western Sydney,10750,Blacktown (C),1,New South Wales,NSW
157,2020-03-17,X740,Western Sydney,12380,Cumberland (A),1,New South Wales,NSW
158,2020-03-17,X740,Western Sydney,16260,Parramatta (C),1,New South Wales,NSW
159,2020-03-17,X750,Nepean Blue Mountains,16350,Penrith (C),3,New South Wales,NSW
160,2020-03-17,X760,Northern Sydney,14100,Hunters Hill (A),1,New South Wales,NSW
161,2020-03-17,X760,Northern Sydney,14500,Ku-ring-gai (A),3,New South Wales,NSW
162,2020-03-17,X760,Northern Sydney,15350,Mosman (A),4,New South Wales,NSW
163,2020-03-17,X760,Northern Sydney,15950,North Sydney (A),1,New South Wales,NSW
164,2020-03-17,X760,Northern Sydney,15990,Northern Beaches (A),7,New South Wales,NSW
165,2020-03-17,X760,Northern Sydney,16700,Ryde (C),1,New South Wales,NSW
166,2020-03-17,X760,Northern Sydney,18250,Willoughby (C),3,New South Wales,NSW
167,2020-03-17,X770,Central Coast,11650,Central Coast (C) (NSW),1,New South Wales,NSW
168,2020-03-17,X800,Hunter New England,11720,Cessnock (C),1,New South Wales,NSW
169,2020-03-17,X800,Hunter New England,15900,Newcastle (C),3,New South Wales,NSW
170,2020-03-17,X810,Northern NSW,11350,Byron (A),1,New South Wales,NSW
171,2020-03-17,X850,Western NSW,10470,Bathurst Regional (A),1,New South Wales,NSW
172,2020-03-17,X850,Western NSW,16150,Orange (C),1,New South Wales,NSW
173,2020-03-18,X700,Sydney,14170,Inner West (A),1,New South Wales,NSW
174,2020-03-18,X710,South Western Sydney,11450,Camden (A),1,New South Wales,NSW
175,2020-03-18,X710,South Western Sydney,11570,Canterbury-Bankstown (A),1,New South Wales,NSW
176,2020-03-18,X720,South Eastern Sydney,17150,Sutherland Shire (A),4,New South Wales,NSW
177,2020-03-18,X720,South Eastern Sydney,17200,Sydney (C),10,New South Wales,NSW
178,2020-03-18,X720,South Eastern Sydney,18050,Waverley (A),8,New South Wales,NSW
179,2020-03-18,X720,South Eastern Sydney,18500,Woollahra (A),3,New South Wales,NSW
180,2020-03-18,X730,Illawarra Shoalhaven,16950,Shoalhaven (C),1,New South Wales,NSW
181,2020-03-18,X730,Illawarra Shoalhaven,18450,Wollongong (C),1,New South Wales,NSW
182,2020-03-18,X740,Western Sydney,10750,Blacktown (C),1,New South Wales,NSW
183,2020-03-18,X740,Western Sydney,12380,Cumberland (A),2,New South Wales,NSW
184,2020-03-18,X740,Western Sydney,17420,The Hills Shire (A),1,New South Wales,NSW
185,2020-03-18,X750,Nepean Blue Mountains,16350,Penrith (C),2,New South Wales,NSW
186,2020-03-18,X760,Northern Sydney,14000,Hornsby (A),1,New South Wales,NSW
187,2020-03-18,X760,Northern Sydney,15350,Mosman (A),1,New South Wales,NSW
188,2020-03-18,X760,Northern Sydney,15950,North Sydney (A),1,New South Wales,NSW
189,2020-03-18,X770,Central Coast,11650,Central Coast (C) (NSW),2,New South Wales,NSW
190,2020-03-18,X800,Hunter New England,15050,Maitland (C),1,New South Wales,NSW
191,2020-03-18,X800,Hunter New England,15900,Newcastle (C),1,New South Wales,NSW
