,date,state_name,state_code,country,vax_1_dose,vax_2_dose,vax_1_%,vax_2_%,population,age_group,sex,death_count,confirmed,confirmed_cum,deaths,deaths_cum,tests,tests_cum,positives,positives_cum,recovered,recovered_cum,hosp,hosp_cum,icu,icu_cum,vent,vent_cum,vaccines,vaccines_cum
68,2021-12-20,,,Australia,680919.0,666057.0,0.9764505457157976,0.9551381605269158,697341.0,"(60, 64)",Male,,,,,,,,,,,,,,,,,,,
69,2021-12-20,,,Australia,710872.0,696967.0,0.9615305019660144,0.942722500483557,739313.0,"(60, 64)",Female,,,,,,,,,,,,,,,,,,,
70,2021-12-20,,,Australia,597321.0,586113.0,0.9811690498287573,0.9627586093612688,608785.0,"(65, 69)",Male,,,,,,,,,,,,,,,,,,,
71,2021-12-20,,,Australia,633400.0,621981.0,0.9753753901732546,0.9577912228534119,649391.0,"(65, 69)",Female,,,,,,,,,,,,,,,,,,,
72,2021-12-20,,,Australia,532501.0,523308.0,0.9853101176818888,0.9682999037821035,540440.0,"(70, 74)",Male,,,,,,,,,,,,,,,,,,,
73,2021-12-20,,,Australia,561938.0,552456.0,0.9953715430492551,0.9785758948261539,564551.0,"(70, 74)",Female,,,,,,,,,,,,,,,,,,,
74,2021-12-20,,,Australia,390127.0,382882.0,1.0520543438396652,1.0325167734558713,370824.0,"(75, 79)",Male,,,,,,,,,,,,,,,,,,,
75,2021-12-20,,,Australia,421412.0,413546.0,1.0459001583448742,1.0263775755860993,402918.0,"(75, 79)",Female,,,,,,,,,,,,,,,,,,,
76,2021-12-20,,,Australia,248777.0,242762.0,1.0372407179636849,1.0121620213054263,239845.0,"(80, 84)",Male,,,,,,,,,,,,,,,,,,,
77,2021-12-20,,,Australia,291897.0,284941.0,1.0114311256488264,0.9873283945141685,288598.0,"(80, 84)",Female,,,,,,,,,,,,,,,,,,,
78,2021-12-20,,,Australia,137159.0,132465.0,1.0468314723369179,1.0110057012890867,131023.0,"(85, 89)",Male,,,,,,,,,,,,,,,,,,,
79,2021-12-20,,,Australia,187621.0,181176.0,1.013236485391802,0.9784306313117676,185170.0,"(85, 89)",Female,,,,,,,,,,,,,,,,,,,
80,2021-12-20,,,Australia,60222.0,57241.0,1.0480864616509162,0.9962059903583425,57459.0,"(90, 94)",Male,,,,,,,,,,,,,,,,,,,
81,2021-12-20,,,Australia,103742.0,99023.0,1.0274944040568113,0.9807558980250778,100966.0,"(90, 94)",Female,,,,,,,,,,,,,,,,,,,
82,2021-12-20,,,Australia,15266.0,14096.0,0.9707490779600662,0.8963499936411039,15726.0,"(95,)",Male,,,,,,,,,,,,,,,,,,,
83,2021-12-20,,,Australia,38457.0,35803.0,1.0341795299306191,0.9628085838756522,37186.0,"(95,)",Female,,,,,,,,,,,,,,,,,,,
84,2021-12-19,New South Wales,NSW,Australia,2777226.0,6131884.0,0.4229932416450402,0.9339338932270387,6565651.0,,,,2558.0,97558.0,0.0,644.0,148937.0,23559299.0,2558.0,97558.0,0.0,2802.0,21.0,227.0,2.0,28.0,1.0,10.0,0.0,0.0
85,2021-12-19,Victoria,VIC,Australia,2178483.0,4981333.0,0.4028577325062958,0.9211770379841312,5407574.0,,,,1228.0,145570.0,4.0,1463.0,76033.0,16456673.0,1228.0,145570.0,1574.0,131023.0,8.0,392.0,-3.0,81.0,-2.0,41.0,0.0,0.0
86,2021-12-19,Queensland,QLD,Australia,1680851.0,3475782.0,0.40869699689280076,0.8451324152194649,4112707.0,,,,39.0,2297.0,0.0,7.0,18302.0,5136084.0,39.0,2297.0,0.0,2086.0,6.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2021-12-19,Tasmania,TAS,Australia,214804.0,403434.0,0.4880001453977082,0.916537171832829,440172.0,,,,3.0,247.0,0.0,13.0,669.0,420489.0,3.0,247.0,0.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2021-12-19,Western Australia,WA,Australia,847071.0,1729662.0,0.4005105490459002,0.8178155990275077,2114978.0,,,,0.0,1125.0,0.0,9.0,0.0,2013127.0,0.0,1125.0,1.0,1114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2021-12-19,South Australia,SA,Australia,651227.0,1245571.0,0.45211538461538464,0.864739655651208,1440400.0,,,,80.0,1296.0,0.0,4.0,16879.0,2826634.0,80.0,1296.0,4.0,983.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2021-12-19,Northern Territory,NT,Australia,56507.0,157894.0,0.29651416007682174,0.8285310986456491,190571.0,,,,9.0,361.0,0.0,1.0,5394.0,559550.0,9.0,361.0,1.0,282.0,5.0,76.0,0.0,1.0,0.0,0.0,0.0,0.0
91,2021-12-19,Australian Capital Territory,ACT,Australia,134209.0,341573.0,0.39010048337824127,0.9928379796359112,344037.0,,,,18.0,2278.0,0.0,15.0,1181.0,686399.0,18.0,2278.0,4.0,2160.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2021-12-19,,,Australia,532693.0,495234.0,0.8661731133210623,0.8052637740733273,614996.0,"(16, 19)",Male,,,,,,,,,,,,,,,,,,,
93,2021-12-19,,,Australia,522820.0,492209.0,0.9001938751967161,0.8474877149242578,580786.0,"(16, 19)",Female,,,,,,,,,,,,,,,,,,,
