,date,lhd_code,lhd_name,lga_code,lga_name,cases,state_name,state_code,country,saved_date
91,2020-03-14,X720,South Eastern Sydney,18500,Woollahra (A),1,New South Wales,NSW,Australia,2021-12-22
92,2020-03-14,X740,Western Sydney,12380,Cumberland (A),1,New South Wales,NSW,Australia,2021-12-22
93,2020-03-14,X740,Western Sydney,16260,Parramatta (C),1,New South Wales,NSW,Australia,2021-12-22
94,2020-03-14,X740,Western Sydney,17420,The Hills Shire (A),1,New South Wales,NSW,Australia,2021-12-22
95,2020-03-14,X750,Nepean Blue Mountains,16350,Penrith (C),1,New South Wales,NSW,Australia,2021-12-22
96,2020-03-14,X760,Northern Sydney,14100,Hunters Hill (A),1,New South Wales,NSW,Australia,2021-12-22
97,2020-03-14,X760,Northern Sydney,15990,Northern Beaches (A),2,New South Wales,NSW,Australia,2021-12-22
98,2020-03-14,X760,Northern Sydney,18250,Willoughby (C),1,New South Wales,NSW,Australia,2021-12-22
99,2020-03-14,X810,Northern NSW,11350,Byron (A),1,New South Wales,NSW,Australia,2021-12-22
100,2020-03-15,X700,Sydney,11570,Canterbury-Bankstown (A),1,New South Wales,NSW,Australia,2021-12-22
101,2020-03-15,X700,Sydney,14170,Inner West (A),2,New South Wales,NSW,Australia,2021-12-22
102,2020-03-15,X700,Sydney,17200,Sydney (C),1,New South Wales,NSW,Australia,2021-12-22
103,2020-03-15,X710,South Western Sydney,12850,Fairfield (C),1,New South Wales,NSW,Australia,2021-12-22
104,2020-03-15,X710,South Western Sydney,18350,Wingecarribee (A),1,New South Wales,NSW,Australia,2021-12-22
105,2020-03-15,X720,South Eastern Sydney,16550,Randwick (C),1,New South Wales,NSW,Australia,2021-12-22
106,2020-03-15,X720,South Eastern Sydney,17150,Sutherland Shire (A),1,New South Wales,NSW,Australia,2021-12-22
107,2020-03-15,X720,South Eastern Sydney,17200,Sydney (C),1,New South Wales,NSW,Australia,2021-12-22
108,2020-03-15,X720,South Eastern Sydney,18050,Waverley (A),2,New South Wales,NSW,Australia,2021-12-22
109,2020-03-15,X720,South Eastern Sydney,18500,Woollahra (A),4,New South Wales,NSW,Australia,2021-12-22
110,2020-03-15,X730,Illawarra Shoalhaven,18450,Wollongong (C),1,New South Wales,NSW,Australia,2021-12-22
111,2020-03-15,X740,Western Sydney,12380,Cumberland (A),2,New South Wales,NSW,Australia,2021-12-22
112,2020-03-15,X740,Western Sydney,16260,Parramatta (C),3,New South Wales,NSW,Australia,2021-12-22
113,2020-03-15,X750,Nepean Blue Mountains,13800,Hawkesbury (C),1,New South Wales,NSW,Australia,2021-12-22
114,2020-03-15,X760,Northern Sydney,14000,Hornsby (A),1,New South Wales,NSW,Australia,2021-12-22
115,2020-03-15,X760,Northern Sydney,14100,Hunters Hill (A),1,New South Wales,NSW,Australia,2021-12-22
116,2020-03-15,X760,Northern Sydney,14700,Lane Cove (A),2,New South Wales,NSW,Australia,2021-12-22
117,2020-03-15,X760,Northern Sydney,15350,Mosman (A),2,New South Wales,NSW,Australia,2021-12-22
118,2020-03-15,X760,Northern Sydney,15950,North Sydney (A),1,New South Wales,NSW,Australia,2021-12-22
119,2020-03-15,X760,Northern Sydney,15990,Northern Beaches (A),1,New South Wales,NSW,Australia,2021-12-22
120,2020-03-15,X760,Northern Sydney,16700,Ryde (C),1,New South Wales,NSW,Australia,2021-12-22
121,2020-03-15,X770,Central Coast,11650,Central Coast (C) (NSW),1,New South Wales,NSW,Australia,2021-12-22
122,2020-03-15,X800,Hunter New England,11720,Cessnock (C),2,New South Wales,NSW,Australia,2021-12-22
123,2020-03-15,X800,Hunter New England,14650,Lake Macquarie (C),1,New South Wales,NSW,Australia,2021-12-22
124,2020-03-15,X820,Mid North Coast,11800,Coffs Harbour (C),1,New South Wales,NSW,Australia,2021-12-22
125,2020-03-16,X700,Sydney,11570,Canterbury-Bankstown (A),1,New South Wales,NSW,Australia,2021-12-22
126,2020-03-16,X700,Sydney,14170,Inner West (A),1,New South Wales,NSW,Australia,2021-12-22
127,2020-03-16,X710,South Western Sydney,14900,Liverpool (C),2,New South Wales,NSW,Australia,2021-12-22
128,2020-03-16,X710,South Western Sydney,18350,Wingecarribee (A),1,New South Wales,NSW,Australia,2021-12-22
129,2020-03-16,X720,South Eastern Sydney,10500,Bayside (A),1,New South Wales,NSW,Australia,2021-12-22
130,2020-03-16,X720,South Eastern Sydney,16550,Randwick (C),3,New South Wales,NSW,Australia,2021-12-22
131,2020-03-16,X720,South Eastern Sydney,17150,Sutherland Shire (A),1,New South Wales,NSW,Australia,2021-12-22
132,2020-03-16,X720,South Eastern Sydney,18050,Waverley (A),5,New South Wales,NSW,Australia,2021-12-22
133,2020-03-16,X720,South Eastern Sydney,18500,Woollahra (A),1,New South Wales,NSW,Australia,2021-12-22
134,2020-03-16,X730,Illawarra Shoalhaven,18450,Wollongong (C),1,New South Wales,NSW,Australia,2021-12-22
135,2020-03-16,X740,Western Sydney,17420,The Hills Shire (A),2,New South Wales,NSW,Australia,2021-12-22
136,2020-03-16,X760,Northern Sydney,14000,Hornsby (A),1,New South Wales,NSW,Australia,2021-12-22
137,2020-03-16,X760,Northern Sydney,14500,Ku-ring-gai (A),2,New South Wales,NSW,Australia,2021-12-22
138,2020-03-16,X760,Northern Sydney,15350,Mosman (A),2,New South Wales,NSW,Australia,2021-12-22
139,2020-03-16,X760,Northern Sydney,15950,North Sydney (A),1,New South Wales,NSW,Australia,2021-12-22
140,2020-03-16,X760,Northern Sydney,16260,Parramatta (C),1,New South Wales,NSW,Australia,2021-12-22
141,2020-03-16,X760,Northern Sydney,16700,Ryde (C),1,New South Wales,NSW,Australia,2021-12-22
142,2020-03-16,X800,Hunter New England,15240,Mid-Coast (A),2,New South Wales,NSW,Australia,2021-12-22
143,2020-03-17,X700,Sydney,11300,Burwood (A),1,New South Wales,NSW,Australia,2021-12-22
144,2020-03-17,X700,Sydney,14170,Inner West (A),1,New South Wales,NSW,Australia,2021-12-22
145,2020-03-17,X700,Sydney,17200,Sydney (C),2,New South Wales,NSW,Australia,2021-12-22
146,2020-03-17,X710,South Western Sydney,11450,Camden (A),3,New South Wales,NSW,Australia,2021-12-22
147,2020-03-17,X710,South Western Sydney,18350,Wingecarribee (A),1,New South Wales,NSW,Australia,2021-12-22
148,2020-03-17,X720,South Eastern Sydney,10500,Bayside (A),2,New South Wales,NSW,Australia,2021-12-22
149,2020-03-17,X720,South Eastern Sydney,16550,Randwick (C),1,New South Wales,NSW,Australia,2021-12-22
150,2020-03-17,X720,South Eastern Sydney,17150,Sutherland Shire (A),7,New South Wales,NSW,Australia,2021-12-22
151,2020-03-17,X720,South Eastern Sydney,17200,Sydney (C),3,New South Wales,NSW,Australia,2021-12-22
152,2020-03-17,X720,South Eastern Sydney,18050,Waverley (A),3,New South Wales,NSW,Australia,2021-12-22
153,2020-03-17,X720,South Eastern Sydney,18500,Woollahra (A),4,New South Wales,NSW,Australia,2021-12-22
154,2020-03-17,X730,Illawarra Shoalhaven,14400,Kiama (A),1,New South Wales,NSW,Australia,2021-12-22
155,2020-03-17,X730,Illawarra Shoalhaven,16950,Shoalhaven (C),1,New South Wales,NSW,Australia,2021-12-22
156,2020-03-17,X740,Western Sydney,10750,Blacktown (C),1,New South Wales,NSW,Australia,2021-12-22
157,2020-03-17,X740,Western Sydney,12380,Cumberland (A),1,New South Wales,NSW,Australia,2021-12-22
158,2020-03-17,X740,Western Sydney,16260,Parramatta (C),1,New South Wales,NSW,Australia,2021-12-22
159,2020-03-17,X750,Nepean Blue Mountains,16350,Penrith (C),3,New South Wales,NSW,Australia,2021-12-22
160,2020-03-17,X760,Northern Sydney,14100,Hunters Hill (A),1,New South Wales,NSW,Australia,2021-12-22
161,2020-03-17,X760,Northern Sydney,14500,Ku-ring-gai (A),3,New South Wales,NSW,Australia,2021-12-22
162,2020-03-17,X760,Northern Sydney,15350,Mosman (A),4,New South Wales,NSW,Australia,2021-12-22
163,2020-03-17,X760,Northern Sydney,15950,North Sydney (A),1,New South Wales,NSW,Australia,2021-12-22
164,2020-03-17,X760,Northern Sydney,15990,Northern Beaches (A),7,New South Wales,NSW,Australia,2021-12-22
165,2020-03-17,X760,Northern Sydney,16700,Ryde (C),1,New South Wales,NSW,Australia,2021-12-22
166,2020-03-17,X760,Northern Sydney,18250,Willoughby (C),3,New South Wales,NSW,Australia,2021-12-22
167,2020-03-17,X770,Central Coast,11650,Central Coast (C) (NSW),1,New South Wales,NSW,Australia,2021-12-22
168,2020-03-17,X800,Hunter New England,11720,Cessnock (C),1,New South Wales,NSW,Australia,2021-12-22
169,2020-03-17,X800,Hunter New England,15900,Newcastle (C),3,New South Wales,NSW,Australia,2021-12-22
170,2020-03-17,X810,Northern NSW,11350,Byron (A),1,New South Wales,NSW,Australia,2021-12-22
171,2020-03-17,X850,Western NSW,10470,Bathurst Regional (A),1,New South Wales,NSW,Australia,2021-12-22
172,2020-03-17,X850,Western NSW,16150,Orange (C),1,New South Wales,NSW,Australia,2021-12-22
173,2020-03-18,X700,Sydney,14170,Inner West (A),1,New South Wales,NSW,Australia,2021-12-22
174,2020-03-18,X710,South Western Sydney,11450,Camden (A),1,New South Wales,NSW,Australia,2021-12-22
175,2020-03-18,X710,South Western Sydney,11570,Canterbury-Bankstown (A),1,New South Wales,NSW,Australia,2021-12-22
176,2020-03-18,X720,South Eastern Sydney,17150,Sutherland Shire (A),4,New South Wales,NSW,Australia,2021-12-22
177,2020-03-18,X720,South Eastern Sydney,17200,Sydney (C),10,New South Wales,NSW,Australia,2021-12-22
178,2020-03-18,X720,South Eastern Sydney,18050,Waverley (A),8,New South Wales,NSW,Australia,2021-12-22
179,2020-03-18,X720,South Eastern Sydney,18500,Woollahra (A),3,New South Wales,NSW,Australia,2021-12-22
180,2020-03-18,X730,Illawarra Shoalhaven,16950,Shoalhaven (C),1,New South Wales,NSW,Australia,2021-12-22
181,2020-03-18,X730,Illawarra Shoalhaven,18450,Wollongong (C),1,New South Wales,NSW,Australia,2021-12-22
182,2020-03-18,X740,Western Sydney,10750,Blacktown (C),1,New South Wales,NSW,Australia,2021-12-22
183,2020-03-18,X740,Western Sydney,12380,Cumberland (A),2,New South Wales,NSW,Australia,2021-12-22
184,2020-03-18,X740,Western Sydney,17420,The Hills Shire (A),1,New South Wales,NSW,Australia,2021-12-22
185,2020-03-18,X750,Nepean Blue Mountains,16350,Penrith (C),2,New South Wales,NSW,Australia,2021-12-22
186,2020-03-18,X760,Northern Sydney,14000,Hornsby (A),1,New South Wales,NSW,Australia,2021-12-22
187,2020-03-18,X760,Northern Sydney,15350,Mosman (A),1,New South Wales,NSW,Australia,2021-12-22
188,2020-03-18,X760,Northern Sydney,15950,North Sydney (A),1,New South Wales,NSW,Australia,2021-12-22
189,2020-03-18,X770,Central Coast,11650,Central Coast (C) (NSW),2,New South Wales,NSW,Australia,2021-12-22
190,2020-03-18,X800,Hunter New England,15050,Maitland (C),1,New South Wales,NSW,Australia,2021-12-22
191,2020-03-18,X800,Hunter New England,15900,Newcastle (C),1,New South Wales,NSW,Australia,2021-12-22
192,2020-03-18,X810,Northern NSW,17550,Tweed (A),2,New South Wales,NSW,Australia,2021-12-22
193,2020-03-19,X700,Sydney,11570,Canterbury-Bankstown (A),1,New South Wales,NSW,Australia,2021-12-22
194,2020-03-19,X700,Sydney,14170,Inner West (A),1,New South Wales,NSW,Australia,2021-12-22
195,2020-03-19,X700,Sydney,17200,Sydney (C),2,New South Wales,NSW,Australia,2021-12-22
196,2020-03-19,X710,South Western Sydney,11450,Camden (A),2,New South Wales,NSW,Australia,2021-12-22
197,2020-03-19,X710,South Western Sydney,11570,Canterbury-Bankstown (A),2,New South Wales,NSW,Australia,2021-12-22
198,2020-03-19,X710,South Western Sydney,14900,Liverpool (C),1,New South Wales,NSW,Australia,2021-12-22
199,2020-03-19,X720,South Eastern Sydney,12930,Georges River (A),1,New South Wales,NSW,Australia,2021-12-22
200,2020-03-19,X720,South Eastern Sydney,16550,Randwick (C),4,New South Wales,NSW,Australia,2021-12-22
201,2020-03-19,X720,South Eastern Sydney,17150,Sutherland Shire (A),2,New South Wales,NSW,Australia,2021-12-22
202,2020-03-19,X720,South Eastern Sydney,17200,Sydney (C),4,New South Wales,NSW,Australia,2021-12-22
203,2020-03-19,X720,South Eastern Sydney,18050,Waverley (A),3,New South Wales,NSW,Australia,2021-12-22
204,2020-03-19,X720,South Eastern Sydney,18500,Woollahra (A),4,New South Wales,NSW,Australia,2021-12-22
205,2020-03-19,X730,Illawarra Shoalhaven,14400,Kiama (A),1,New South Wales,NSW,Australia,2021-12-22
206,2020-03-19,X730,Illawarra Shoalhaven,18450,Wollongong (C),1,New South Wales,NSW,Australia,2021-12-22
207,2020-03-19,X740,Western Sydney,12380,Cumberland (A),3,New South Wales,NSW,Australia,2021-12-22
208,2020-03-19,X740,Western Sydney,16260,Parramatta (C),1,New South Wales,NSW,Australia,2021-12-22
209,2020-03-19,X740,Western Sydney,17420,The Hills Shire (A),2,New South Wales,NSW,Australia,2021-12-22
210,2020-03-19,X750,Nepean Blue Mountains,10900,Blue Mountains (C),1,New South Wales,NSW,Australia,2021-12-22
211,2020-03-19,X750,Nepean Blue Mountains,13800,Hawkesbury (C),1,New South Wales,NSW,Australia,2021-12-22
212,2020-03-19,X750,Nepean Blue Mountains,16350,Penrith (C),1,New South Wales,NSW,Australia,2021-12-22
213,2020-03-19,X760,Northern Sydney,14000,Hornsby (A),1,New South Wales,NSW,Australia,2021-12-22
214,2020-03-19,X760,Northern Sydney,14100,Hunters Hill (A),1,New South Wales,NSW,Australia,2021-12-22
215,2020-03-19,X760,Northern Sydney,14500,Ku-ring-gai (A),3,New South Wales,NSW,Australia,2021-12-22
216,2020-03-19,X760,Northern Sydney,14700,Lane Cove (A),2,New South Wales,NSW,Australia,2021-12-22
217,2020-03-19,X760,Northern Sydney,15990,Northern Beaches (A),3,New South Wales,NSW,Australia,2021-12-22
218,2020-03-19,X760,Northern Sydney,16700,Ryde (C),1,New South Wales,NSW,Australia,2021-12-22
219,2020-03-19,X770,Central Coast,11650,Central Coast (C) (NSW),2,New South Wales,NSW,Australia,2021-12-22
220,2020-03-19,X800,Hunter New England,12700,Dungog (A),1,New South Wales,NSW,Australia,2021-12-22
221,2020-03-19,X800,Hunter New England,14650,Lake Macquarie (C),3,New South Wales,NSW,Australia,2021-12-22
222,2020-03-19,X800,Hunter New England,15240,Mid-Coast (A),1,New South Wales,NSW,Australia,2021-12-22
223,2020-03-20,X700,Sydney,11570,Canterbury-Bankstown (A),3,New South Wales,NSW,Australia,2021-12-22
224,2020-03-20,X700,Sydney,14170,Inner West (A),1,New South Wales,NSW,Australia,2021-12-22
225,2020-03-20,X700,Sydney,17100,Strathfield (A),1,New South Wales,NSW,Australia,2021-12-22
226,2020-03-20,X700,Sydney,17200,Sydney (C),1,New South Wales,NSW,Australia,2021-12-22
227,2020-03-20,X710,South Western Sydney,11570,Canterbury-Bankstown (A),3,New South Wales,NSW,Australia,2021-12-22
228,2020-03-20,X710,South Western Sydney,14900,Liverpool (C),2,New South Wales,NSW,Australia,2021-12-22
229,2020-03-20,X710,South Western Sydney,18350,Wingecarribee (A),4,New South Wales,NSW,Australia,2021-12-22
230,2020-03-20,X720,South Eastern Sydney,10500,Bayside (A),1,New South Wales,NSW,Australia,2021-12-22
231,2020-03-20,X720,South Eastern Sydney,12930,Georges River (A),1,New South Wales,NSW,Australia,2021-12-22
232,2020-03-20,X720,South Eastern Sydney,16550,Randwick (C),1,New South Wales,NSW,Australia,2021-12-22
233,2020-03-20,X720,South Eastern Sydney,17150,Sutherland Shire (A),4,New South Wales,NSW,Australia,2021-12-22
234,2020-03-20,X720,South Eastern Sydney,17200,Sydney (C),4,New South Wales,NSW,Australia,2021-12-22
235,2020-03-20,X720,South Eastern Sydney,18050,Waverley (A),16,New South Wales,NSW,Australia,2021-12-22
236,2020-03-20,X720,South Eastern Sydney,18500,Woollahra (A),10,New South Wales,NSW,Australia,2021-12-22
237,2020-03-20,X730,Illawarra Shoalhaven,18450,Wollongong (C),2,New South Wales,NSW,Australia,2021-12-22
